folio,id_entidad,entidad,id_distrito,distrito,n_complejidad,complejidad,total_votos,lista_nominal,participacion,pob_total,indigenas,acceso_salud,porcentaje_discapacidad,promedio_educacion_anos,porcentaje_analfabeta,porcentaje_internet
1,1,AGUASCALIENTES,1,AGU01,6,Disperso 1,190528,334777,0.569119145,482911,0.148681641,80.93416799,0.049501875,9,0.021314487,0.487556756
2,1,AGUASCALIENTES,2,AGU02,4,Concentrado 1,143314,331813,0.43191195,486085,0.201405104,82.32860508,0.04923213,10,0.011497989,0.637733239
3,1,AGUASCALIENTES,3,AGU03,5,Concentrado 2,180246,350821,0.513783382,456611,0.18440204,80.35636461,0.051374146,11,0.013197229,0.696132261
4,2,BAJA CALIFORNIA,1,BCN01,5,Concentrado 2,134363,359116,0.3741493,485628,0.777343975,82.0496347,0.039563205,10,0.014527581,0.651444952
5,2,BAJA CALIFORNIA,2,BCN02,4,Concentrado 1,145757,344830,0.422692341,396169,0.346821685,80.04614192,0.046634138,11,0.009697881,0.757717588
6,2,BAJA CALIFORNIA,3,BCN03,7,Disperso 2,138607,348261,0.397997479,457179,5.876691624,78.0521415,0.049061746,9,0.02807653,0.608600806
7,2,BAJA CALIFORNIA,4,BCN04,5,Concentrado 2,141150,395214,0.357148279,582501,0.873303222,76.91145595,0.036403371,9,0.011871224,0.68325279
8,2,BAJA CALIFORNIA,5,BCN05,2,Altamente Concentrado 2,152870,369354,0.413884783,418815,0.552750021,71.8453255,0.038699665,10,0.009694018,0.807489311
9,2,BAJA CALIFORNIA,6,BCN06,4,Concentrado 1,143709,354821,0.405018305,424896,0.534013029,70.16375772,0.037395033,10,0.010207204,0.762034541
10,2,BAJA CALIFORNIA,7,BCN07,6,Disperso 1,131824,372488,0.353901334,506278,0.943750272,77.6919005,0.04056072,9,0.014328096,0.628887335
11,2,BAJA CALIFORNIA,8,BCN08,4,Concentrado 1,134895,375102,0.359622183,497554,0.535620254,76.0665174,0.036156879,9,0.01245493,0.695425274
12,3,BAJA CALIFORNIA SUR,1,BCS01,9,Muy Disperso 2,164171,292920,0.560463608,398167,1.411468052,84.23475577,0.053788988,10,0.018017565,0.638218999
13,3,BAJA CALIFORNIA SUR,2,BCS02,7,Disperso 2,115715,268732,0.430596282,400280,1.9888578,79.4331468,0.034890577,10,0.016868192,0.596338873
14,4,CAMPECHE,1,CAM01,6,Disperso 1,228380,335377,0.680965004,470590,15.95316518,78.32295629,0.059616651,9,0.041086721,0.474070379
15,4,CAMPECHE,2,CAM02,8,Muy Disperso 1,196074,333373,0.58815201,457773,3.653994447,69.68715936,0.052873367,9,0.045111879,0.400301849
16,7,CHIAPAS,1,CHP01,8,Muy Disperso 1,196433,264887,0.741572822,410229,58.96560214,68.66579398,0.039672963,7,0.126056422,0.094427872
17,7,CHIAPAS,2,CHP02,7,Disperso 2,194517,272398,0.714091146,445224,62.9424739,75.79959751,0.051594096,6,0.090599573,0.182568737
18,7,CHIAPAS,3,CHP03,8,Muy Disperso 1,181939,259872,0.700110054,426589,71.21257229,70.55409305,0.030076293,6,0.117597919,0.051182414
19,7,CHIAPAS,4,CHP04,7,Disperso 2,195572,279029,0.700902057,408235,14.52227271,62.78809999,0.043295522,7,0.05332531,0.319083479
20,7,CHIAPAS,5,CHP05,3,Concentración Media,177117,296936,0.59648207,454255,61.04963071,69.24172546,0.045862065,7,0.083873781,0.131685997
21,7,CHIAPAS,6,CHP06,6,Disperso 1,178673,327399,0.545734715,470504,5.642672538,57.0379848,0.035359729,9,0.130601675,0.052045401
22,7,CHIAPAS,7,CHP07,8,Muy Disperso 1,170399,291793,0.583972199,390090,0.532441232,60.72085929,0.029782765,7,0.140749058,0.053891446
23,7,CHIAPAS,8,CHP08,7,Disperso 2,162085,271504,0.596989363,466942,7.170912019,65.75656077,0.05479442,7,0.081732336,0.197300654
24,7,CHIAPAS,9,CHP09,2,Altamente Concentrado 2,137393,319920,0.42946049,413716,2.322849491,59.39219175,0.027720113,11,0.122292545,0.186242253
25,7,CHIAPAS,10,CHP10,8,Muy Disperso 1,176337,294529,0.598708446,410609,5.372264125,63.20246268,0.039776495,7,0.058811402,0.37309807
26,7,CHIAPAS,11,CHP11,7,Disperso 2,150769,213227,0.707082124,387847,50.36883101,80.71610712,0.054964239,6,0.075805583,0.205859125
27,7,CHIAPAS,12,CHP12,3,Concentración Media,158579,303775,0.522027817,435403,0.747353601,55.15442016,0.042617713,9,0.093838207,0.193382758
28,7,CHIAPAS,13,CHP13,8,Muy Disperso 1,165002,264527,0.623762414,424185,1.117672714,70.3237974,0.041049899,7,0.02715631,0.598117585
29,8,CHIHUAHUA,1,CHH01,2,Altamente Concentrado 2,118817,328503,0.361692283,489421,0.631358278,83.67989931,0.03833918,10,0.007472095,0.656569476
30,8,CHIHUAHUA,2,CHH02,8,Muy Disperso 1,124016,309994,0.400059356,426640,1.230780049,81.14311832,0.045382524,9,0.015753328,0.441642421
31,8,CHIHUAHUA,3,CHH03,4,Concentrado 1,102600,299748,0.342287522,371187,0.469035823,76.82892989,0.048845999,8,0.015590524,0.551171935
32,8,CHIHUAHUA,4,CHH04,2,Altamente Concentrado 2,159471,344702,0.462634391,400838,0.364985356,79.60847025,0.043281825,11,0.007035261,0.776616107
33,8,CHIHUAHUA,5,CHH05,8,Muy Disperso 1,171850,339372,0.506376484,421054,0.939309447,85.34012264,0.045568977,9,0.017596318,0.479202418
34,8,CHIHUAHUA,6,CHH06,5,Concentrado 2,208131,366545,0.567818412,476403,0.871740942,88.96354557,0.039514865,12,0.005961339,0.764943161
35,8,CHIHUAHUA,7,CHH07,9,Muy Disperso 2,145038,296556,0.489074576,362596,3.725082461,85.77287118,0.050422509,8,0.029561826,0.335233397
36,8,CHIHUAHUA,8,CHH08,4,Concentrado 1,168616,350155,0.481546744,461356,1.145536202,87.88939561,0.046114064,10,0.009801542,0.627162683
37,8,CHIHUAHUA,9,CHH09,9,Muy Disperso 2,154100,258950,0.595095578,332374,21.67829012,85.98807368,0.049979842,7,0.086492927,0.320854023
38,9,CIUDAD DE MÉXICO,1,CMX01,1,Altamente Concentrado 1,143054,314910,0.454269474,394439,1.67858655,74.2647152,0.055572598,10,0.017054602,0.667290756
39,9,CIUDAD DE MÉXICO,2,CMX02,1,Altamente Concentrado 1,200108,369677,0.541304977,396804,1.259563916,73.38333283,0.042877723,11,0.006269139,0.84981201
40,9,CIUDAD DE MÉXICO,3,CMX03,1,Altamente Concentrado 1,206042,381923,0.539485708,432205,0.742240372,76.28370796,0.055486555,11,0.008845903,0.767115077
41,9,CIUDAD DE MÉXICO,4,CMX04,1,Altamente Concentrado 1,127440,288317,0.442013478,367231,1.414913229,68.55112994,0.049852931,10,0.007550646,0.829912094
42,9,CIUDAD DE MÉXICO,5,CMX05,4,Concentrado 1,149018,280902,0.530498181,361414,2.147675519,67.20187929,0.060403862,11,0.009588699,0.773221096
43,9,CIUDAD DE MÉXICO,6,CMX06,2,Altamente Concentrado 2,186340,326701,0.570368625,405335,1.347774063,72.41762986,0.053286983,11,0.012891632,0.768145344
44,9,CIUDAD DE MÉXICO,7,CMX07,1,Altamente Concentrado 1,188357,368661,0.510921958,382108,0.674416657,73.34968124,0.041957559,11,0.003109503,0.918325529
45,9,CIUDAD DE MÉXICO,8,CMX08,1,Altamente Concentrado 1,144720,282791,0.511756032,328126,1.226053406,69.69944473,0.053905404,11,0.011581544,0.769751002
46,9,CIUDAD DE MÉXICO,9,CMX09,2,Altamente Concentrado 2,137791,306258,0.449918043,393799,1.224482541,71.7602127,0.041286762,10,0.013694347,0.752801237
47,9,CIUDAD DE MÉXICO,10,CMX10,2,Altamente Concentrado 2,197201,323748,0.609118821,414411,0.866772359,75.19081299,0.053466229,13,0.011485218,0.731308193
48,9,CIUDAD DE MÉXICO,11,CMX11,1,Altamente Concentrado 1,171460,306401,0.559593474,329305,1.15516011,71.72256722,0.05753239,11,0.011853839,0.711456364
49,9,CIUDAD DE MÉXICO,12,CMX12,1,Altamente Concentrado 1,157995,302186,0.522840237,332157,1.868393561,71.48005311,0.059754942,12,0.009775607,0.766747918
50,9,CIUDAD DE MÉXICO,13,CMX13,1,Altamente Concentrado 1,188085,359482,0.523211176,404643,1.090096703,72.02101606,0.053610329,11,0.014503154,0.675682969
51,9,CIUDAD DE MÉXICO,14,CMX14,2,Altamente Concentrado 2,148276,278674,0.532076907,339445,1.237313851,71.50142144,0.052684163,11,0.018154381,0.586808488
52,9,CIUDAD DE MÉXICO,15,CMX15,1,Altamente Concentrado 1,239168,374479,0.638668657,434153,0.815380753,79.06314133,0.061735281,14,0.021804545,0.617579083
53,9,CIUDAD DE MÉXICO,16,CMX16,1,Altamente Concentrado 1,176303,331119,0.532446039,397270,0.913987968,74.3159564,0.054932843,11,0.010304269,0.810045929
54,9,CIUDAD DE MÉXICO,17,CMX17,4,Concentrado 1,195301,334994,0.582998501,422145,1.027135226,73.96605432,0.054415754,11,0.01019301,0.801391344
55,9,CIUDAD DE MÉXICO,18,CMX18,1,Altamente Concentrado 1,167060,325066,0.513926403,370215,1.656604946,68.73843577,0.055529205,11,0.008502909,0.789089744
56,9,CIUDAD DE MÉXICO,19,CMX19,1,Altamente Concentrado 1,145055,305131,0.475385982,371947,0.955243623,67.17838832,0.057718439,10,0.013141592,0.71756663
57,9,CIUDAD DE MÉXICO,20,CMX20,1,Altamente Concentrado 1,131115,290479,0.451375142,352544,1.163826359,64.81857584,0.048213406,10,0.013231363,0.731808491
58,9,CIUDAD DE MÉXICO,21,CMX21,4,Concentrado 1,149910,330380,0.453750227,433394,2.671933622,67.6772175,0.051527749,10,0.014022969,0.77188809
59,9,CIUDAD DE MÉXICO,22,CMX22,1,Altamente Concentrado 1,111458,289994,0.384345883,376527,2.605922019,63.93379492,0.060404388,9,0.01043684,0.732456952
60,9,CIUDAD DE MÉXICO,23,CMX23,1,Altamente Concentrado 1,205720,361934,0.568390922,386927,1.517857374,72.08491524,0.060242102,12,0.008917306,0.738107547
61,9,CIUDAD DE MÉXICO,24,CMX24,2,Altamente Concentrado 2,194566,338227,0.575252715,383400,1.489045383,71.75352113,0.053641579,12,0.013212324,0.672457038
62,5,COAHUILA,1,COA01,6,Disperso 1,175805,334986,0.524812977,444379,0.170125051,80.87848436,0.040794007,9,0.011850245,0.550301401
63,5,COAHUILA,2,COA02,9,Muy Disperso 2,196685,314549,0.625292085,447641,0.176257313,79.57045936,0.048380287,9,0.018159641,0.408122509
64,5,COAHUILA,3,COA03,3,Concentración Media,190464,323421,0.588904246,429221,0.089697382,82.88737038,0.048217585,10,0.010940751,0.590799643
65,5,COAHUILA,4,COA04,5,Concentrado 2,185949,339754,0.547304815,492819,0.213059967,82.6203941,0.031597808,11,0.008548778,0.697664273
66,5,COAHUILA,5,COA05,2,Altamente Concentrado 2,190564,302880,0.62917327,353269,0.105019121,77.11177601,0.052435962,11,0.010847258,0.648669174
67,5,COAHUILA,6,COA06,3,Concentración Media,188144,314629,0.597986835,506358,0.181689635,77.16240288,0.043718081,10,0.012289724,0.543015811
68,5,COAHUILA,7,COA07,6,Disperso 1,180237,331841,0.54314265,473084,0.265491963,82.65783666,0.038263818,10,0.013204843,0.597241704
69,6,COLIMA,1,COL01,5,Concentrado 2,162844,292619,0.556505217,380580,0.642440486,81.26018183,0.055622996,10,0.017962058,0.674870434
70,6,COLIMA,2,COL02,3,Concentración Media,134852,263700,0.511384149,350811,0.788173689,81.4227604,0.053336412,9,0.033915698,0.477730572
71,10,DURANGO,1,DUR01,9,Muy Disperso 2,146266,333512,0.43856293,470881,9.112068654,71.37344679,0.055519335,9,0.032791724,0.37802824
72,10,DURANGO,2,DUR02,8,Muy Disperso 1,138981,334571,0.415400618,462293,0.176078807,78.23999066,0.051748566,9,0.015764894,0.43289608
73,10,DURANGO,3,DUR03,8,Muy Disperso 1,147374,321326,0.458643247,428660,0.101245743,72.32258667,0.059928615,9,0.020118509,0.328415305
74,10,DURANGO,4,DUR04,5,Concentrado 2,141340,343405,0.41158399,470816,0.655670156,74.43651023,0.055643818,10,0.0094007,0.587472202
75,11,GUANAJUATO,1,GUA01,7,Disperso 2,137140,279598,0.490489918,382910,1.259042595,77.6174558,0.049904677,8,0.061487034,0.388400362
76,11,GUANAJUATO,2,GUA02,6,Disperso 1,134981,320317,0.421398177,435292,0.197568529,71.4141312,0.053586892,8,0.051645088,0.414563349
77,11,GUANAJUATO,3,GUA03,4,Concentrado 1,153488,299534,0.51242263,441301,0.156582469,77.07732364,0.043915671,10,0.025178891,0.574968064
78,11,GUANAJUATO,4,GUA04,6,Disperso 1,126298,279500,0.451871199,380060,0.112087565,83.75414408,0.038825637,9,0.020784835,0.619647437
79,11,GUANAJUATO,5,GUA05,2,Altamente Concentrado 2,130445,299263,0.435887497,417616,0.257892418,74.75000958,0.054754783,8,0.053633458,0.325806452
80,11,GUANAJUATO,6,GUA06,5,Concentrado 2,136566,304633,0.448296803,467310,0.194303567,78.92533864,0.056934494,9,0.05536387,0.369210819
81,11,GUANAJUATO,7,GUA07,6,Disperso 1,128305,315900,0.406157012,410974,0.153051045,78.57699027,0.038486931,7,0.028554475,0.525984472
82,11,GUANAJUATO,8,GUA08,3,Concentración Media,155894,331523,0.470235851,422317,0.114842642,76.25764532,0.037544912,9,0.051207006,0.419464339
83,11,GUANAJUATO,9,GUA09,3,Concentración Media,117732,299986,0.392458315,422626,0.11901776,82.39956841,0.039639611,9,0.020539269,0.679919553
84,11,GUANAJUATO,10,GUA10,3,Concentración Media,148007,329915,0.448621615,376454,0.09509794,80.96208302,0.046103247,8,0.042795874,0.433660818
85,11,GUANAJUATO,11,GUA11,5,Concentrado 2,121629,281244,0.432467893,395212,0.228737994,78.79872069,0.052086127,9,0.02603588,0.533374595
86,11,GUANAJUATO,12,GUA12,4,Concentrado 1,142003,330818,0.429248106,432575,0.222389181,76.54580131,0.039783013,10,0.02603197,0.585236136
87,11,GUANAJUATO,13,GUA13,6,Disperso 1,147746,316814,0.466349341,410229,0.089705993,81.83014853,0.060636439,7,0.046409262,0.34079602
88,11,GUANAJUATO,14,GUA14,6,Disperso 1,133710,312677,0.42762979,397931,0.143240914,79.13130668,0.0464722,8,0.042191056,0.510660914
89,11,GUANAJUATO,15,GUA15,4,Concentrado 1,112872,282134,0.400065217,374127,0.129902413,77.76423514,0.038847586,9,0.034654754,0.430640309
90,12,GUERRERO,1,GRO01,8,Muy Disperso 1,155767,261484,0.595703752,352902,0.743265836,64.72136741,0.065828474,7,0.098574108,0.212064101
91,12,GUERRERO,2,GRO02,6,Disperso 1,166948,296540,0.562986444,391093,5.92033097,76.14966261,0.064255816,8,0.065360413,0.363213793
92,12,GUERRERO,3,GRO03,8,Muy Disperso 1,184568,319427,0.57780964,427165,1.072185221,72.66278838,0.062863296,8,0.070082989,0.343776193
93,12,GUERRERO,4,GRO04,4,Concentrado 1,153505,299066,0.513281349,368616,1.89302689,72.73612648,0.066489246,10,0.034325694,0.544374557
94,12,GUERRERO,5,GRO05,7,Disperso 2,182071,276233,0.659121104,404179,57.83229708,79.00855809,0.062170474,6,0.156289664,0.130630143
95,12,GUERRERO,6,GRO06,7,Disperso 2,175475,282383,0.621407804,413902,43.03120062,80.43836464,0.053500587,6,0.146938164,0.15118377
96,12,GUERRERO,7,GRO07,6,Disperso 1,156249,278619,0.560798079,400066,3.791874341,72.54478011,0.049741793,9,0.055775797,0.473507283
97,12,GUERRERO,8,GRO08,6,Disperso 1,167346,259805,0.644121553,376855,12.30605936,74.36706426,0.059123536,7,0.106115084,0.145065289
98,12,GUERRERO,9,GRO09,5,Concentrado 2,140356,289510,0.484805361,405907,1.17095788,65.65715792,0.060208373,9,0.05197496,0.412497779
99,13,HIDALGO,1,HID01,7,Disperso 2,163297,290286,0.562538324,400091,50.19233124,83.90266214,0.062543271,7,0.129385565,0.130403144
100,13,HIDALGO,2,HID02,7,Disperso 2,146277,307644,0.4754749,405262,21.96332249,69.73390054,0.060647186,8,0.057942763,0.241827828
101,13,HIDALGO,3,HID03,6,Disperso 1,139630,312237,0.447192357,416056,2.052608303,65.58996866,0.057042802,9,0.041847732,0.313036285
102,13,HIDALGO,4,HID04,6,Disperso 1,126361,309706,0.408003074,417765,9.5479516,62.11195289,0.046435197,8,0.068509808,0.345595032
103,13,HIDALGO,5,HID05,3,Concentración Media,157798,335582,0.470221883,470382,1.188608408,67.73856142,0.052693343,9,0.027354363,0.377603889
104,13,HIDALGO,6,HID06,5,Concentrado 2,171967,371681,0.462673637,526882,2.523335396,64.84544927,0.050468606,10,0.015267176,0.615360497
105,13,HIDALGO,7,HID07,3,Concentración Media,141821,312780,0.453420935,446403,1.230054458,68.15792009,0.051198133,10,0.02042997,0.553709509
106,14,JALISCO,1,JAL01,8,Muy Disperso 1,170649,281066,0.607149211,391749,6.105184697,75.02661143,0.057085021,8,0.037401499,0.426949153
107,14,JALISCO,2,JAL02,6,Disperso 1,145701,271892,0.535878216,374724,0.073120483,70.80891536,0.032607823,8,0.011146601,0.804705408
108,14,JALISCO,3,JAL03,6,Disperso 1,171746,348465,0.49286442,431340,0.170862892,64.72434738,0.05054656,8,0.012546956,0.726409227
109,14,JALISCO,4,JAL04,2,Altamente Concentrado 2,130374,301242,0.432788257,390339,0.408362987,65.7075004,0.034899406,10,0.011233496,0.617887677
110,14,JALISCO,5,JAL05,6,Disperso 1,143531,300977,0.476883616,385654,0.987932188,75.17619421,0.040959538,9,0.01303258,0.767442448
111,14,JALISCO,6,JAL06,4,Concentrado 1,156684,352889,0.444003639,534366,1.10991343,69.21155163,0.060460873,11,0.01366464,0.738219463
112,14,JALISCO,7,JAL07,2,Altamente Concentrado 2,103378,267588,0.38633272,391848,0.252648986,63.46236296,0.055588045,9,0.036578061,0.470293692
113,14,JALISCO,8,JAL08,2,Altamente Concentrado 2,186114,326458,0.570100901,345181,0.438320765,73.0147372,0.042079829,12,0.018182731,0.623540541
114,14,JALISCO,9,JAL09,2,Altamente Concentrado 2,131819,308161,0.427760164,352733,0.165280821,67.16383213,0.051887522,10,0.028879106,0.489473223
115,14,JALISCO,10,JAL10,4,Concentrado 1,160690,307218,0.52304878,411067,1.396366043,71.10325081,0.057874832,12,0.037650493,0.434022272
116,14,JALISCO,11,JAL11,1,Altamente Concentrado 1,145558,313346,0.46452803,342872,0.190158426,66.49595184,0.048044704,10,0.036926775,0.508565579
117,14,JALISCO,12,JAL12,5,Concentrado 2,144418,386496,0.373659753,726488,0.558440057,70.713625,0.050954836,10,0.036141267,0.461563554
118,14,JALISCO,13,JAL13,2,Altamente Concentrado 2,135250,295904,0.457073916,414116,0.602971148,72.37585604,0.042626612,11,0.021817651,0.489878948
119,14,JALISCO,14,JAL14,2,Altamente Concentrado 2,154325,315635,0.488935004,344173,0.406481624,73.06819536,0.047081189,10,0.038964622,0.53141764
120,14,JALISCO,15,JAL15,3,Concentración Media,162383,326502,0.497341517,422357,0.137324586,67.44270842,0.044914805,8,0.013916109,0.691599809
121,14,JALISCO,16,JAL16,2,Altamente Concentrado 2,124070,309534,0.400828342,418419,0.445008472,67.86881093,0.048989509,9,0.021311849,0.596309446
122,14,JALISCO,17,JAL17,3,Concentración Media,159302,275878,0.577436403,375254,0.560953381,65.02848737,0.032661135,8,0.010101691,0.730129803
123,14,JALISCO,18,JAL18,7,Disperso 2,169246,296311,0.571176905,372027,0.86875415,78.04460429,0.045550826,8,0.015110451,0.656278733
124,14,JALISCO,19,JAL19,6,Disperso 1,172591,309934,0.556863719,396027,0.931754653,75.10498022,0.050167883,8,0.007793013,0.812722502
125,14,JALISCO,20,JAL20,5,Concentrado 2,129233,309352,0.417753886,527417,0.341285927,63.335084,0.051914621,9,0.014671154,0.718717739
126,15,MÉXICO,1,MEX01,6,Disperso 1,221235,321012,0.689179844,433002,8.163010794,70.79713258,0.056634842,8,0.050482446,0.218659698
127,15,MÉXICO,2,MEX02,4,Concentrado 1,141482,290517,0.487000761,422202,0.889858409,68.4677003,0.048585372,10,0.013275616,0.642436403
128,15,MÉXICO,3,MEX03,3,Concentración Media,206907,325312,0.636026338,452800,11.19964664,66.43484982,0.048878613,8,0.016744677,0.629014754
129,15,MÉXICO,4,MEX04,4,Concentrado 1,163455,305942,0.534267933,441964,2.198142835,66.28843073,0.046558354,9,0.014829642,0.623613606
130,15,MÉXICO,5,MEX05,5,Concentrado 2,181636,289197,0.628070139,424436,0.968815086,63.59922344,0.05686026,9,0.012843914,0.690937409
131,15,MÉXICO,6,MEX06,2,Altamente Concentrado 2,152633,293110,0.520736242,392069,0.916675381,69.44951016,0.043712555,11,0.012194523,0.764024901
132,15,MÉXICO,7,MEX07,2,Altamente Concentrado 2,175160,309515,0.565917645,410724,0.791285632,71.73235555,0.038750669,11,0.014620798,0.724207896
133,15,MÉXICO,8,MEX08,2,Altamente Concentrado 2,129403,257850,0.501853791,357044,1.078018395,68.17563101,0.047727789,10,0.021977405,0.566597868
134,15,MÉXICO,9,MEX09,6,Disperso 1,184717,296782,0.622399606,443541,15.92028696,70.69357737,0.054624794,7,0.013803982,0.677036028
135,15,MÉXICO,10,MEX10,2,Altamente Concentrado 2,124488,267583,0.465231349,366386,1.199281632,63.73414923,0.034903858,10,0.021567129,0.591649888
136,15,MÉXICO,11,MEX11,2,Altamente Concentrado 2,134049,285421,0.469653599,371103,1.984893682,64.52844628,0.049564759,10,0.011377284,0.743355888
137,15,MÉXICO,12,MEX12,2,Altamente Concentrado 2,132870,272186,0.488158833,398661,2.056383745,64.70535116,0.043356024,10,0.011181851,0.632324301
138,15,MÉXICO,13,MEX13,1,Altamente Concentrado 1,134450,266188,0.505094144,344054,0.968452627,64.64392218,0.053595061,10,0.012350837,0.713608129
139,15,MÉXICO,14,MEX14,2,Altamente Concentrado 2,166211,304518,0.545816668,386731,0.866235187,70.02231525,0.040499122,11,0.019741719,0.440603763
140,15,MÉXICO,15,MEX15,2,Altamente Concentrado 2,163414,309891,0.527327351,396148,1.344951887,69.28269233,0.040707358,11,0.014813837,0.712292959
141,15,MÉXICO,16,MEX16,2,Altamente Concentrado 2,134187,293963,0.456475815,373975,2.518884952,63.0929875,0.036802415,9,0.022126524,0.470984513
142,15,MÉXICO,17,MEX17,1,Altamente Concentrado 1,123888,253275,0.489144211,336642,1.205731905,62.40754273,0.042148352,10,0.017339417,0.617310703
143,15,MÉXICO,18,MEX18,5,Concentrado 2,208419,325934,0.639451545,471180,2.294876693,62.746721,0.053158085,10,0.023097535,0.546085143
144,15,MÉXICO,19,MEX19,1,Altamente Concentrado 1,176424,315468,0.559245312,362213,0.716705364,74.13621267,0.03390775,11,0.025211154,0.494150312
145,15,MÉXICO,20,MEX20,1,Altamente Concentrado 1,149630,283370,0.528037548,356656,1.385648917,65.234007,0.033268085,10,0.013466062,0.65612725
146,15,MÉXICO,21,MEX21,5,Concentrado 2,163302,272352,0.599599048,389885,0.697641612,64.63957321,0.044895649,9,0.017298359,0.459090792
147,15,MÉXICO,22,MEX22,4,Concentrado 1,194732,358146,0.543722393,431691,1.645158227,66.21680786,0.057520055,11,0.013991596,0.695102784
